product,page_slug,channel_angle,post_copy,destination,campaign
"LedgerLaunchCo","client-payment-reminder-generator","unpaid client balance follow-up","If a client owes you money and you hate writing the follow-up, this free generator gives you a polite payment reminder you can copy. Firm without being weird.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-payment-reminder-tool?src=manual_social&medium=social&campaign=client_payment_reminder_generator","client_payment_reminder_generator"
"Salon Booth Rent Tracker","salon-booth-rent-calculator","booth rent as a percentage of collected income","Is booth rent quietly eating the month? Free quick check: Estimate take-home after booth rent, chair rent, suite rent, and expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-salon-tool?src=manual_social&medium=social&campaign=salon_booth_rent_calculator","salon_booth_rent_calculator"
"Salon Booth Rent Tracker","chair-rental-profit-calculator","chair rental profit after fixed and variable costs","A full chair does not always mean a profitable chair. Free quick check: Calculate what chair rental leaves after product costs and expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-chair-tool?src=manual_social&medium=social&campaign=chair_rental_profit_calculator","chair_rental_profit_calculator"
"Salon Booth Rent Tracker","salon-suite-expense-tracker","suite rent plus product and platform expenses","Salon suite freedom gets expensive if the numbers scatter. Free quick check: Estimate take-home after suite rent, supplies, booking fees, and business expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-suite-tool?src=manual_social&medium=social&campaign=salon_suite_expense_tracker","salon_suite_expense_tracker"
"Salon Booth Rent Tracker","lash-tech-income-tracker","lash-specific income and supply-cost visibility","Booked lash sets are not the same as clean take-home. Free quick check: Estimate lash-tech take-home after rent, supplies, fees, and other expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-lash-tool?src=manual_social&medium=social&campaign=lash_tech_income_tracker","lash_tech_income_tracker"
"Salon Booth Rent Tracker","nail-tech-expense-tracker","nail supplies and booth rent take-home","Small supply costs can hide inside a busy nail calendar. Free quick check: Estimate nail-tech take-home after rent, supplies, tips, and monthly expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-nail-tool?src=manual_social&medium=social&campaign=nail_tech_expense_tracker","nail_tech_expense_tracker"
"Salon Booth Rent Tracker","booth-rent-break-even-calculator","how many appointments are needed before booth rent is covered","How many appointments pay the rent before you pay yourself? Free quick check: Estimate how many appointments it takes to cover booth rent before your week starts making money. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-booth-breakeven-tool?src=manual_social&medium=social&campaign=booth_rent_break_even_calculator","booth_rent_break_even_calculator"
"Salon Booth Rent Tracker","beauty-pro-weekly-income-calculator","weekly take-home after rent and product costs","A packed week can still hide a weak take-home number. Free quick check: Estimate weekly take-home for beauty pros after rent, product costs, tips, and business expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-beauty-weekly-tool?src=manual_social&medium=social&campaign=beauty_pro_weekly_income_calculator","beauty_pro_weekly_income_calculator"
"Photographer Client & Booking Tracker","photographer-balance-due-calculator","balance due and gallery delivery pressure","Booked is not the same as collected. Free quick check: Estimate unpaid client balances and gallery delivery workload. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-photog-tool?src=manual_social&medium=social&campaign=photographer_balance_due_calculator","photographer_balance_due_calculator"
"Photographer Client & Booking Tracker","photography-payment-tracker","deposit/final-payment tracking","Deposits are easy. Final balances are where money gets missed. Free quick check: Calculate paid, unpaid, and outstanding balances across booked shoots. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-photo-payment-tool?src=manual_social&medium=social&campaign=photography_payment_tracker","photography_payment_tracker"
"Photographer Client & Booking Tracker","gallery-delivery-tracker","gallery delivery deadlines and backlog","The shoot is not done until the gallery is delivered. Free quick check: Estimate delivery backlog and unpaid balances before client work piles up. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-gallery-tool?src=manual_social&medium=social&campaign=gallery_delivery_tracker","gallery_delivery_tracker"
"Photographer Client & Booking Tracker","photographer-booking-pipeline-tracker","lead-to-booking-to-paid-client visibility","A lead, a booking, and a paid client are three different things. Free quick check: Quickly map booked value, collected payments, and open client work. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-photo-pipeline-tool?src=manual_social&medium=social&campaign=photographer_booking_pipeline_tracker","photographer_booking_pipeline_tracker"
"Photographer Client & Booking Tracker","newborn-photographer-client-tracker","newborn photographer-specific client admin","Newborn sessions have enough moving parts. The admin needs one place. Free quick check: Track booked value, payments, delivery backlog, and client follow-up for newborn photographers. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-newborn-tool?src=manual_social&medium=social&campaign=newborn_photographer_client_tracker","newborn_photographer_client_tracker"
"Photographer Client & Booking Tracker","mini-session-profit-calculator","mini-session profit after volume, time, and costs","Mini sessions only work if the math survives the calendar. Free quick check: Estimate mini-session profit after booking volume, editing time, location costs, and unpaid balances. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-mini-session-tool?src=manual_social&medium=social&campaign=mini_session_profit_calculator","mini_session_profit_calculator"
"Photographer Client & Booking Tracker","photography-deposit-balance-calculator","deposit and remaining-balance tracking across booked clients","Deposits feel organized until final balances start slipping. Free quick check: Estimate collected deposits, remaining balances, and delivery pressure across booked photography clients. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-photo-deposit-tool?src=manual_social&medium=social&campaign=photography_deposit_balance_calculator","photography_deposit_balance_calculator"
"Pet Sitting / Dog Walker Tracker","pet-sitting-unpaid-visit-calculator","unpaid visits and monthly pet-care income","How many pet-care visits are still unpaid? Free quick check: Estimate unpaid pet sitting or dog walking visits. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-pet-tool?src=manual_social&medium=social&campaign=pet_sitting_unpaid_visit_calculator","pet_sitting_unpaid_visit_calculator"
"Pet Sitting / Dog Walker Tracker","dog-walker-payment-log","dog-walking payment status","Walks add up fast. So do missed payments. Free quick check: Estimate unpaid dog-walking visits and monthly collected income. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-dogwalker-tool?src=manual_social&medium=social&campaign=dog_walker_payment_log","dog_walker_payment_log"
"Pet Sitting / Dog Walker Tracker","pet-sitting-client-notes-template","client/pet notes as trust and continuity","If another sitter had to step in, could they? Free quick check: Check whether your client, pet, vet, feeding, meds, and access notes are complete enough. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-pet-notes-tool?src=manual_social&medium=social&campaign=pet_sitting_client_notes_template","pet_sitting_client_notes_template"
"Pet Sitting / Dog Walker Tracker","pet-sitting-mileage-tracker","mileage and visit volume visibility","Pet-care mileage disappears unless you catch it weekly. Free quick check: Estimate visit mileage and unpaid work for pet sitters and dog walkers. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-pet-mileage-tool?src=manual_social&medium=social&campaign=pet_sitting_mileage_tracker","pet_sitting_mileage_tracker"
"Pet Sitting / Dog Walker Tracker","overnight-pet-sitting-income-tracker","overnight pet sitting balances and client notes","Overnights look simple until deposits, balances, and pet notes split apart. Free quick check: Estimate unpaid overnight pet sitting income and organize the client tracking problem. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-overnight-tool?src=manual_social&medium=social&campaign=overnight_pet_sitting_income_tracker","overnight_pet_sitting_income_tracker"
"Pet Sitting / Dog Walker Tracker","pet-sitting-rate-calculator","pet-sitting rates after visits, mileage, and unpaid work","A fair pet-sitting rate still has to cover the messy parts. Free quick check: Estimate pet-sitting income after visits, overnights, mileage, unpaid work, and business expenses. Useful before buying another spreadsheet.","https://business-click-router.exitvelocitybtc.workers.dev/r/ll-pet-rate-tool?src=manual_social&medium=social&campaign=pet_sitting_rate_calculator","pet_sitting_rate_calculator"
